"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.06G035600.Wm82.a2.v1",0,0,0,1,1,0
"Glyma.12G125800.Wm82.a2.v1",28,36,24,6,6,11
"Glyma.03G150100.Wm82.a2.v1",8,5,1,8,7,3
"Glyma.04G137800.Wm82.a2.v1",58,75,48,35,36,37
"Glyma.02G180500.Wm82.a2.v1",10,8,11,5,6,7
"Glyma.06G116300.Wm82.a2.v1",81,71,50,62,74,65
"Glyma.09G048900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G037300.Wm82.a2.v1",1060,1067,715,399,461,588
"Glyma.07G193400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G244100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G055900.Wm82.a2.v1",266,495,553,250,276,242
"Glyma.18G005100.Wm82.a2.v1",206,262,236,178,191,244
"Glyma.08G142400.Wm82.a2.v1",26,27,28,6,15,6
"Glyma.02G277400.Wm82.a2.v1",58,58,52,28,38,45
"Glyma.16G045300.Wm82.a2.v1",4,5,6,4,3,0
"Glyma.03G071400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G093600.Wm82.a2.v1",257,300,224,259,280,229
"Glyma.03G114900.Wm82.a2.v1",5,5,3,3,3,3
"Glyma.17G074900.Wm82.a2.v1",6,9,6,4,5,3
"Glyma.10G276900.Wm82.a2.v1",155,184,159,171,203,201
"Glyma.12G037600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G120000.Wm82.a2.v1",3,2,4,2,6,2
"Glyma.17G143300.Wm82.a2.v1",214,170,148,153,184,156
"Glyma.02G069300.Wm82.a2.v1",4,1,2,2,8,1
"Glyma.09G204600.Wm82.a2.v1",18,20,20,39,62,37
"Glyma.07G169900.Wm82.a2.v1",92,113,89,36,64,73
"Glyma.16G136800.Wm82.a2.v1",3,0,1,2,1,0
"Glyma.10G236600.Wm82.a2.v1",7,3,5,1,5,5
"Glyma.09G032500.Wm82.a2.v1",0,1,0,1,0,0
"Glyma.02G055000.Wm82.a2.v1",1,1,0,0,0,0
"Glyma.05G240000.Wm82.a2.v1",320,349,236,476,589,390
"Glyma.08G191700.Wm82.a2.v1",53,47,31,39,58,43
"Glyma.03G034600.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.08G317000.Wm82.a2.v1",62,72,50,36,37,33
"Glyma.05G194200.Wm82.a2.v1",1,4,3,5,2,2
"Glyma.17G052100.Wm82.a2.v1",113,121,97,147,173,87
"Glyma.05G129300.Wm82.a2.v1",134,125,107,96,88,78
"Glyma.15G003800.Wm82.a2.v1",463,570,284,162,93,120
"Glyma.14G068500.Wm82.a2.v1",229,200,165,203,233,188
"Glyma.20G043900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G255700.Wm82.a2.v1",41,27,27,49,83,51
"Glyma.03G119400.Wm82.a2.v1",161,190,128,102,113,85
"Glyma.06G078300.Wm82.a2.v1",3,7,3,6,5,4
"Glyma.05G129200.Wm82.a2.v1",3,2,3,3,2,1
"Glyma.U011400.Wm82.a2.v1",43,53,43,34,26,27
"Glyma.01G092000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G237500.Wm82.a2.v1",1,1,0,1,1,3
"Glyma.03G086800.Wm82.a2.v1",145,115,89,35,52,46
"Glyma.08G235400.Wm82.a2.v1",0,0,0,2,0,1
"Glyma.20G193200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G005900.Wm82.a2.v1",640,664,516,1034,1293,680
"Glyma.07G164300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G121600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G144800.Wm82.a2.v1",154,166,149,117,129,135
"Glyma.10G277100.Wm82.a2.v1",9,1,6,6,8,10
"Glyma.15G212600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G268100.Wm82.a2.v1",104,122,115,67,93,96
"Glyma.05G112200.Wm82.a2.v1",456,382,274,234,225,204
"Glyma.09G185200.Wm82.a2.v1",119,126,93,117,189,127
"Glyma.07G061500.Wm82.a2.v1",1,0,2,2,3,3
"Glyma.11G017100.Wm82.a2.v1",55,89,50,39,64,35
"Glyma.19G129400.Wm82.a2.v1",97,114,68,103,102,85
"Glyma.03G237100.Wm82.a2.v1",36,33,32,34,33,16
"Glyma.08G007200.Wm82.a2.v1",293,388,321,423,386,231
"Glyma.15G211600.Wm82.a2.v1",6,7,5,37,51,30
"Glyma.11G240900.Wm82.a2.v1",357,355,281,215,245,263
"Glyma.10G290400.Wm82.a2.v1",25,17,16,23,37,13
"Glyma.17G173700.Wm82.a2.v1",0,3,0,0,1,0
"Glyma.15G117100.Wm82.a2.v1",79,65,45,49,61,44
"Glyma.09G103100.Wm82.a2.v1",154,144,127,120,133,108
"Glyma.18G257700.Wm82.a2.v1",54,51,30,35,35,27
"Glyma.11G091300.Wm82.a2.v1",3,11,2,10,9,7
"Glyma.11G157400.Wm82.a2.v1",303,265,249,215,268,285
"Glyma.03G013400.Wm82.a2.v1",429,410,272,146,190,223
"Glyma.08G140300.Wm82.a2.v1",75,67,66,84,67,60
"Glyma.19G159500.Wm82.a2.v1",31,34,22,4,7,15
"Glyma.05G098700.Wm82.a2.v1",3,5,7,18,24,12
"Glyma.05G091300.Wm82.a2.v1",0,0,1,0,3,0
"Glyma.06G172800.Wm82.a2.v1",7,9,3,8,6,3
"Glyma.03G076700.Wm82.a2.v1",0,1,1,1,2,0
"Glyma.04G136100.Wm82.a2.v1",1,2,2,1,1,1
"Glyma.06G184800.Wm82.a2.v1",624,631,574,405,416,440
"Glyma.13G047400.Wm82.a2.v1",10,9,12,19,12,8
"Glyma.19G067600.Wm82.a2.v1",1,0,1,1,1,1
"Glyma.02G132800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G201900.Wm82.a2.v1",1,1,2,0,2,0
"Glyma.01G215400.Wm82.a2.v1",223,211,219,78,123,129
"Glyma.08G289700.Wm82.a2.v1",0,4,0,2,1,5
"Glyma.06G013400.Wm82.a2.v1",15,12,14,5,3,8
"Glyma.03G020000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G102500.Wm82.a2.v1",8,4,6,10,7,7
"Glyma.03G247800.Wm82.a2.v1",0,3,0,0,1,1
"Glyma.11G038500.Wm82.a2.v1",49,49,45,30,44,49
"Glyma.10G134300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G323500.Wm82.a2.v1",113,144,118,99,94,104
"Glyma.13G252500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G003300.Wm82.a2.v1",27,14,12,10,21,16
"Glyma.19G024600.Wm82.a2.v1",1,0,2,2,0,0
"Glyma.08G000200.Wm82.a2.v1",0,2,1,2,4,0
"Glyma.07G187700.Wm82.a2.v1",11,6,10,2,8,1
"Glyma.09G119800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G176100.Wm82.a2.v1",474,557,560,565,587,489
"Glyma.10G231600.Wm82.a2.v1",132,107,90,97,92,53
"Glyma.01G015100.Wm82.a2.v1",740,814,569,701,700,474
"Glyma.17G106600.Wm82.a2.v1",82,70,82,39,37,38
"Glyma.11G080400.Wm82.a2.v1",14,22,10,14,28,20
"Glyma.18G056800.Wm82.a2.v1",4,3,2,7,0,2
"Glyma.19G011900.Wm82.a2.v1",54,59,45,52,80,52
"Glyma.18G047300.Wm82.a2.v1",31,40,30,31,33,27
"Glyma.13G309900.Wm82.a2.v1",1,1,1,0,0,0
"Glyma.16G191900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.09G167000.Wm82.a2.v1",99,68,45,67,88,44
"Glyma.12G207200.Wm82.a2.v1",12,13,6,4,5,5
"Glyma.09G038700.Wm82.a2.v1",227,275,166,110,105,152
"Glyma.19G115500.Wm82.a2.v1",3,3,2,3,2,4
"Glyma.06G157800.Wm82.a2.v1",11,5,8,12,17,10
"Glyma.19G166100.Wm82.a2.v1",333,356,273,204,252,223
"Glyma.13G250700.Wm82.a2.v1",1009,562,210,427,264,206
"Glyma.18G088100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G181700.Wm82.a2.v1",77,80,52,80,98,56
"Glyma.08G267800.Wm82.a2.v1",2,0,0,2,0,1
"Glyma.18G212200.Wm82.a2.v1",6,4,5,5,9,3
"Glyma.03G235500.Wm82.a2.v1",468,445,354,279,270,220
"Glyma.01G090600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G183700.Wm82.a2.v1",2,3,3,5,4,4
"Glyma.10G122100.Wm82.a2.v1",338,270,238,356,287,237
"Glyma.06G209700.Wm82.a2.v1",71,65,48,44,55,52
"Glyma.06G140800.Wm82.a2.v1",1,1,2,1,0,2
"Glyma.12G095800.Wm82.a2.v1",490,568,483,257,340,285
"Glyma.08G147500.Wm82.a2.v1",27,38,43,97,199,63
"Glyma.06G218200.Wm82.a2.v1",4,5,2,2,6,3
"Glyma.20G123900.Wm82.a2.v1",21,21,23,16,24,15
"Glyma.16G112000.Wm82.a2.v1",0,1,0,1,1,1
"Glyma.05G158800.Wm82.a2.v1",72,47,33,23,38,35
"Glyma.19G197600.Wm82.a2.v1",32,32,17,20,27,28
"Glyma.12G133100.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.16G169800.Wm82.a2.v1",362,356,348,437,617,328
"Glyma.05G178000.Wm82.a2.v1",1001,1111,738,1453,1628,1082
"Glyma.15G119600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.02G066900.Wm82.a2.v1",8,7,6,7,3,5
"Glyma.10G154100.Wm82.a2.v1",17,3,2,16,31,27
"Glyma.17G098800.Wm82.a2.v1",45,80,53,38,42,26
"Glyma.19G195100.Wm82.a2.v1",160,194,118,195,205,178
"Glyma.20G195500.Wm82.a2.v1",6,1,6,4,1,1
"Glyma.09G192500.Wm82.a2.v1",414,416,297,241,245,261
"Glyma.08G307100.Wm82.a2.v1",15,39,19,18,15,25
"Glyma.18G126100.Wm82.a2.v1",0,0,1,0,2,1
"Glyma.09G267000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G268300.Wm82.a2.v1",5,4,9,3,7,3
"Glyma.03G102200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G114100.Wm82.a2.v1",91,43,59,31,12,14
"Glyma.14G132200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G003100.Wm82.a2.v1",91,101,60,64,72,63
"Glyma.12G200700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G041300.Wm82.a2.v1",170,231,139,160,164,155
"Glyma.02G210300.Wm82.a2.v1",4,0,0,0,1,4
"Glyma.20G110900.Wm82.a2.v1",205,222,183,320,404,257
"Glyma.12G098300.Wm82.a2.v1",92,100,69,86,81,78
"Glyma.02G265200.Wm82.a2.v1",1,0,1,1,0,0
"Glyma.08G190900.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.02G277000.Wm82.a2.v1",18,9,5,9,12,9
"Glyma.15G243600.Wm82.a2.v1",0,0,1,2,0,0
"Glyma.16G088700.Wm82.a2.v1",308,369,298,304,307,273
"Glyma.08G223200.Wm82.a2.v1",31,28,22,41,33,21
"Glyma.01G013800.Wm82.a2.v1",11,20,17,15,18,20
"Glyma.12G094800.Wm82.a2.v1",85,70,64,19,34,33
"Glyma.12G008400.Wm82.a2.v1",94,89,86,91,98,99
"Glyma.18G095100.Wm82.a2.v1",2,5,7,0,0,6
"Glyma.08G164200.Wm82.a2.v1",10,7,7,15,11,15
"Glyma.20G171200.Wm82.a2.v1",111,86,69,62,83,50
"Glyma.06G026300.Wm82.a2.v1",10,2,1,6,4,2
"Glyma.03G190200.Wm82.a2.v1",277,305,219,112,145,179
"Glyma.10G207500.Wm82.a2.v1",379,409,366,379,460,432
"Glyma.09G115600.Wm82.a2.v1",46,31,29,52,40,25
"Glyma.10G188600.Wm82.a2.v1",333,330,246,262,239,246
"Glyma.02G209700.Wm82.a2.v1",0,1,0,0,0,4
"Glyma.12G035500.Wm82.a2.v1",26,31,34,10,4,12
"Glyma.13G249700.Wm82.a2.v1",0,2,3,3,4,0
"Glyma.11G036300.Wm82.a2.v1",9,5,1,1,0,1
"Glyma.12G155800.Wm82.a2.v1",7,7,12,2,3,5
"Glyma.06G244700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G182300.Wm82.a2.v1",0,1,1,1,1,1
"Glyma.12G058700.Wm82.a2.v1",19,17,16,26,30,22
"Glyma.04G068000.Wm82.a2.v1",46,61,38,74,112,62
"Glyma.18G131900.Wm82.a2.v1",27,26,19,20,21,23
"Glyma.19G220200.Wm82.a2.v1",1338,1207,684,661,672,653
"Glyma.14G217000.Wm82.a2.v1",1,0,0,8,8,7
"Glyma.10G032900.Wm82.a2.v1",48,39,21,49,54,32
"Glyma.18G213500.Wm82.a2.v1",290,327,276,325,373,241
"Glyma.12G138300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G151400.Wm82.a2.v1",0,0,0,0,0,1
"Glyma.04G220400.Wm82.a2.v1",174,160,122,82,114,117
"Glyma.14G070000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G051800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G297100.Wm82.a2.v1",1,4,0,0,1,1
"Glyma.17G240600.Wm82.a2.v1",1,0,1,0,0,3
"Glyma.05G134400.Wm82.a2.v1",0,0,0,2,0,0
"Glyma.11G020500.Wm82.a2.v1",0,0,1,2,1,0
"Glyma.05G019200.Wm82.a2.v1",13,18,12,6,8,6
"Glyma.10G268700.Wm82.a2.v1",98,113,71,72,66,75
"Glyma.19G103800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G009100.Wm82.a2.v1",75,60,56,39,48,45
"Glyma.05G003500.Wm82.a2.v1",85,77,92,93,134,94
"Glyma.08G198400.Wm82.a2.v1",5,2,0,1,0,0
"Glyma.16G146300.Wm82.a2.v1",313,257,204,219,230,197
"Glyma.09G045400.Wm82.a2.v1",7,19,10,11,18,15
"Glyma.08G168600.Wm82.a2.v1",0,2,1,1,0,0
"Glyma.01G164100.Wm82.a2.v1",299,340,258,264,274,241
"Glyma.03G163600.Wm82.a2.v1",299,320,257,277,292,300
"Glyma.20G236200.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.02G086200.Wm82.a2.v1",77,36,53,104,156,162
"Glyma.19G252800.Wm82.a2.v1",32,43,44,49,53,38
"Glyma.U041800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G180800.Wm82.a2.v1",142,110,87,90,97,100
"Glyma.01G135900.Wm82.a2.v1",102,108,71,73,75,87
"Glyma.02G119400.Wm82.a2.v1",2,0,2,1,2,2
"Glyma.04G177200.Wm82.a2.v1",10,15,13,17,18,6
"Glyma.15G269000.Wm82.a2.v1",0,2,0,0,0,1
"Glyma.16G175400.Wm82.a2.v1",329,290,173,173,107,132
"Glyma.14G092500.Wm82.a2.v1",1018,1020,714,334,378,283
"Glyma.06G160600.Wm82.a2.v1",55,76,54,81,81,56
"Glyma.13G031100.Wm82.a2.v1",24,20,8,14,12,9
"Glyma.19G045900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G267700.Wm82.a2.v1",10,4,3,2,0,1
"Glyma.08G361100.Wm82.a2.v1",72,59,38,71,89,98
"Glyma.14G089000.Wm82.a2.v1",114,110,116,113,140,100
"Glyma.04G101500.Wm82.a2.v1",492,517,438,426,405,471
"Glyma.07G045400.Wm82.a2.v1",55,63,36,42,45,37
"Glyma.08G130200.Wm82.a2.v1",297,361,241,316,338,268
"Glyma.02G043600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G146000.Wm82.a2.v1",147,131,137,127,163,120
"Glyma.14G042600.Wm82.a2.v1",1,0,2,1,3,2
"Glyma.07G088800.Wm82.a2.v1",16,9,9,8,15,8
"Glyma.12G052800.Wm82.a2.v1",181,172,147,164,208,144
"Glyma.10G197100.Wm82.a2.v1",76,78,59,99,95,81
"Glyma.17G088300.Wm82.a2.v1",17,13,5,10,20,18
"Glyma.10G244000.Wm82.a2.v1",3,4,3,4,1,1
"Glyma.03G033400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G138400.Wm82.a2.v1",3,0,3,2,0,2
"Glyma.02G088400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G361000.Wm82.a2.v1",42,51,53,54,53,53
"Glyma.20G141500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G166900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G181800.Wm82.a2.v1",126,139,115,119,95,106
"Glyma.11G049800.Wm82.a2.v1",155,145,123,135,98,95
"Glyma.17G058500.Wm82.a2.v1",1,0,0,0,0,0
"Glyma.05G033500.Wm82.a2.v1",691,776,626,746,849,670
"Glyma.05G140600.Wm82.a2.v1",342,265,179,175,187,138
"Glyma.13G191300.Wm82.a2.v1",1,1,0,2,1,0
"Glyma.09G062900.Wm82.a2.v1",142,131,163,146,188,157
"Glyma.13G120300.Wm82.a2.v1",114,121,91,78,79,84
"Glyma.02G167300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G166200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G027300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.20G206300.Wm82.a2.v1",622,543,395,305,279,299
"Glyma.02G030700.Wm82.a2.v1",32,41,34,20,24,16
"Glyma.17G101000.Wm82.a2.v1",329,414,443,261,177,301
"Glyma.20G234500.Wm82.a2.v1",96,75,76,115,126,98
"Glyma.18G085700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.15G059300.Wm82.a2.v1",0,2,0,1,0,2
"Glyma.11G011600.Wm82.a2.v1",40,31,20,31,26,32
"Glyma.09G238000.Wm82.a2.v1",4,7,6,0,2,2
"Glyma.07G188000.Wm82.a2.v1",1,0,1,0,2,0
"Glyma.11G131600.Wm82.a2.v1",58,70,54,60,52,38
"Glyma.18G301700.Wm82.a2.v1",42,16,22,19,29,22
"Glyma.06G057200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G008600.Wm82.a2.v1",127,144,87,84,92,60
"Glyma.06G016800.Wm82.a2.v1",12,5,3,3,4,3
"Glyma.04G136800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G234900.Wm82.a2.v1",1,9,3,3,2,1
"Glyma.15G276200.Wm82.a2.v1",29,24,33,16,21,22
"Glyma.09G246000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G118100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G177000.Wm82.a2.v1",7,16,6,3,3,5
"Glyma.16G061500.Wm82.a2.v1",15,18,11,29,31,27
"Glyma.18G250700.Wm82.a2.v1",411,312,288,510,625,434
"Glyma.04G096600.Wm82.a2.v1",382,374,336,300,335,358
"Glyma.07G227300.Wm82.a2.v1",23,48,56,34,23,87
"Glyma.13G357000.Wm82.a2.v1",15,14,9,7,17,5
"Glyma.19G042900.Wm82.a2.v1",2,1,0,0,1,0
"Glyma.08G339400.Wm82.a2.v1",87,52,72,31,53,18
"Glyma.03G162800.Wm82.a2.v1",9,7,3,4,0,3
"Glyma.16G058300.Wm82.a2.v1",211,236,168,177,183,181
"Glyma.16G021600.Wm82.a2.v1",90,153,96,161,251,170
"Glyma.18G073600.Wm82.a2.v1",234,298,245,187,153,183
"Glyma.13G348900.Wm82.a2.v1",78,93,57,74,68,62
"Glyma.20G023400.Wm82.a2.v1",4,2,4,0,2,0
"Glyma.02G187200.Wm82.a2.v1",88,86,72,49,61,52
"Glyma.14G119600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G203400.Wm82.a2.v1",346,383,270,423,468,307
"Glyma.01G190700.Wm82.a2.v1",107,129,115,80,66,81
"Glyma.03G009600.Wm82.a2.v1",42,34,31,8,11,18
"Glyma.08G172300.Wm82.a2.v1",8,21,13,4,9,8
"Glyma.03G249500.Wm82.a2.v1",28,30,22,23,21,17
"Glyma.03G041800.Wm82.a2.v1",49,26,27,29,40,37
"Glyma.06G187800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.11G197600.Wm82.a2.v1",3,0,3,0,1,0
"Glyma.03G192900.Wm82.a2.v1",325,246,180,163,148,175
"Glyma.10G037400.Wm82.a2.v1",159,184,124,267,315,201
"Glyma.07G254900.Wm82.a2.v1",11,13,14,6,10,9
"Glyma.08G228400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G161300.Wm82.a2.v1",174,221,139,113,140,114
"Glyma.08G325200.Wm82.a2.v1",12,10,5,38,79,33
"Glyma.09G159700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G138800.Wm82.a2.v1",218,230,185,132,138,128
"Glyma.07G248400.Wm82.a2.v1",1,0,0,1,0,0
"Glyma.09G028600.Wm82.a2.v1",41,33,31,54,74,48
"Glyma.01G038500.Wm82.a2.v1",90,69,63,48,50,53
"Glyma.19G087300.Wm82.a2.v1",1,1,4,1,5,3
"Glyma.07G133800.Wm82.a2.v1",10,16,2,19,24,11
"Glyma.01G150800.Wm82.a2.v1",41,44,28,22,24,28
"Glyma.07G234600.Wm82.a2.v1",1,8,1,3,3,2
"Glyma.13G011500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G189800.Wm82.a2.v1",19,22,12,6,11,10
"Glyma.19G164200.Wm82.a2.v1",2,4,2,1,0,0
"Glyma.02G190500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G120600.Wm82.a2.v1",0,1,0,0,0,0
"Glyma.06G067400.Wm82.a2.v1",2389,2641,1905,2164,1862,1593
"Glyma.05G048300.Wm82.a2.v1",4,3,5,3,5,7
"Glyma.18G273300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G175700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G219000.Wm82.a2.v1",2,2,4,2,3,1
"Glyma.10G259400.Wm82.a2.v1",56,61,35,34,47,25
"Glyma.20G195800.Wm82.a2.v1",1,2,2,1,4,2
"Glyma.08G220200.Wm82.a2.v1",184,190,169,119,103,145
"Glyma.09G010400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.07G051400.Wm82.a2.v1",61,90,75,18,18,27
"Glyma.01G018300.Wm82.a2.v1",42,26,18,56,89,42
"Glyma.19G110900.Wm82.a2.v1",35,36,32,43,61,29
"Glyma.03G040300.Wm82.a2.v1",374,610,380,329,297,257
"Glyma.11G023800.Wm82.a2.v1",3,1,0,3,4,1
"Glyma.17G142200.Wm82.a2.v1",93,72,82,85,114,64
"Glyma.17G090700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G095000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G007900.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.20G016800.Wm82.a2.v1",1,0,0,1,1,2
"Glyma.17G132000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G101200.Wm82.a2.v1",254,259,197,215,250,223
"Glyma.18G053400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G180600.Wm82.a2.v1",77,84,90,56,86,93
"Glyma.07G011900.Wm82.a2.v1",0,1,0,5,4,2
"Glyma.20G103900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G247900.Wm82.a2.v1",8,1,9,4,7,4
"Glyma.15G120600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G302300.Wm82.a2.v1",4,9,2,5,4,3
"Glyma.U021900.Wm82.a2.v1",683,1083,1202,872,1158,673
"Glyma.10G151600.Wm82.a2.v1",1,1,3,3,2,6
"Glyma.14G132300.Wm82.a2.v1",124,155,112,144,155,113
"Glyma.17G024800.Wm82.a2.v1",34,26,36,21,21,27
"Glyma.16G077400.Wm82.a2.v1",1,1,0,0,3,1
"Glyma.14G066700.Wm82.a2.v1",0,0,0,1,0,0
"Glyma.09G040800.Wm82.a2.v1",23,32,18,40,52,55
"Glyma.09G017700.Wm82.a2.v1",117,150,118,103,98,136
"Glyma.16G170000.Wm82.a2.v1",4,1,0,1,13,2
"Glyma.08G110100.Wm82.a2.v1",179,182,127,111,129,147
"Glyma.13G189400.Wm82.a2.v1",151,185,135,183,161,161
"Glyma.02G166500.Wm82.a2.v1",302,327,197,133,117,135
"Glyma.16G132900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G086100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.03G038800.Wm82.a2.v1",28,24,22,6,12,12
"Glyma.10G016300.Wm82.a2.v1",311,299,203,264,323,186
"Glyma.13G234400.Wm82.a2.v1",1,0,0,0,0,1
"Glyma.12G070900.Wm82.a2.v1",1,0,2,3,5,9
"Glyma.18G008900.Wm82.a2.v1",16,23,20,12,13,17
"Glyma.06G298800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G288500.Wm82.a2.v1",100,119,94,105,145,96
"Glyma.14G141300.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G003900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G231100.Wm82.a2.v1",7,6,3,4,1,2
"Glyma.17G183800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G011900.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.01G174800.Wm82.a2.v1",40,31,26,17,18,9
"Glyma.10G168000.Wm82.a2.v1",1,0,0,5,1,0
"Glyma.19G251000.Wm82.a2.v1",329,369,297,353,397,318
"Glyma.18G035100.Wm82.a2.v1",9,11,9,7,10,3
"Glyma.05G084300.Wm82.a2.v1",135,144,106,120,95,85
"Glyma.12G160800.Wm82.a2.v1",128,129,87,144,161,144
"Glyma.07G267200.Wm82.a2.v1",380,410,419,451,655,365
"Glyma.15G194800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.19G003600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.13G251900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.01G058200.Wm82.a2.v1",72,64,44,73,84,46
"Glyma.19G025300.Wm82.a2.v1",101,128,79,99,120,76
"Glyma.10G052700.Wm82.a2.v1",755,755,520,376,450,412
"Glyma.10G278600.Wm82.a2.v1",122,177,152,111,104,117
"Glyma.02G071000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G030000.Wm82.a2.v1",48,45,38,41,47,21
"Glyma.15G032100.Wm82.a2.v1",98,90,59,111,149,97
"Glyma.07G052200.Wm82.a2.v1",0,5,1,0,0,0
"Glyma.12G133400.Wm82.a2.v1",3,1,0,0,0,0
"Glyma.12G003600.Wm82.a2.v1",28,45,25,40,57,27
"Glyma.02G009000.Wm82.a2.v1",199,192,128,171,136,126
"Glyma.08G154700.Wm82.a2.v1",35,18,22,13,19,19
"Glyma.06G319700.Wm82.a2.v1",12,8,8,5,8,13
"Glyma.08G360300.Wm82.a2.v1",1,1,2,1,2,2
"Glyma.07G247200.Wm82.a2.v1",50,53,26,70,58,42
"Glyma.14G197400.Wm82.a2.v1",4,6,4,11,11,11
"Glyma.18G298000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.05G078600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G117500.Wm82.a2.v1",91,67,77,42,57,68
"Glyma.01G145400.Wm82.a2.v1",1869,2269,1602,2505,2655,1644
"Glyma.18G272300.Wm82.a2.v1",268,328,213,243,224,220
"Glyma.19G131800.Wm82.a2.v1",75,122,107,103,141,137
"Glyma.16G047500.Wm82.a2.v1",75,74,64,65,65,96
"Glyma.20G083200.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G245800.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G034600.Wm82.a2.v1",218,257,205,287,361,209
"Glyma.16G220100.Wm82.a2.v1",93,87,83,80,85,80
"Glyma.08G067600.Wm82.a2.v1",49,37,40,31,47,36
"Glyma.20G129300.Wm82.a2.v1",384,435,326,289,312,362
