"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.13G140100.Wm82.a2.v1",230,203,153,164,279,150
"Glyma.17G217300.Wm82.a2.v1",7,5,5,3,8,4
"Glyma.18G041200.Wm82.a2.v1",97,101,79,79,72,63
"Glyma.08G257100.Wm82.a2.v1",504,526,386,520,693,424
"Glyma.08G196400.Wm82.a2.v1",55,64,44,37,49,46
"Glyma.18G260600.Wm82.a2.v1",5,4,10,0,3,1
"Glyma.13G217400.Wm82.a2.v1",28,46,30,3,3,9
"Glyma.15G160400.Wm82.a2.v1",125,122,91,86,68,90
"Glyma.12G241800.Wm82.a2.v1",57,45,47,79,85,39
"Glyma.19G000600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G311500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G245600.Wm82.a2.v1",0,0,1,4,3,1
"Glyma.18G209700.Wm82.a2.v1",3,6,6,3,5,4
"Glyma.10G227900.Wm82.a2.v1",17,8,7,26,41,32
"Glyma.18G157100.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G234000.Wm82.a2.v1",100,117,75,192,257,128
"Glyma.15G254900.Wm82.a2.v1",35,35,25,47,61,47
"Glyma.15G067100.Wm82.a2.v1",29,26,28,16,13,18
"Glyma.19G226800.Wm82.a2.v1",5,5,2,3,1,2
"Glyma.11G176100.Wm82.a2.v1",2,0,1,0,0,0
"Glyma.14G220100.Wm82.a2.v1",1,1,0,2,1,4
"Glyma.08G242700.Wm82.a2.v1",11,5,6,7,20,10
"Glyma.03G005400.Wm82.a2.v1",40,26,22,16,40,22
"Glyma.19G134600.Wm82.a2.v1",3,14,4,2,8,6
"Glyma.06G252500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G158500.Wm82.a2.v1",68,65,60,55,80,55
"Glyma.03G058400.Wm82.a2.v1",7,5,3,8,7,2
"Glyma.17G214500.Wm82.a2.v1",4,4,3,1,3,0
"Glyma.07G120500.Wm82.a2.v1",51,59,44,146,219,67
"Glyma.16G114700.Wm82.a2.v1",88,100,74,77,67,73
"Glyma.06G164500.Wm82.a2.v1",173,202,203,223,242,204
"Glyma.05G140700.Wm82.a2.v1",0,1,1,1,0,4
"Glyma.11G003100.Wm82.a2.v1",1,1,3,0,0,0
